Price,Close,High,Low,Open,Volume
Ticker,APA,APA,APA,APA,APA
Date,,,,,
2015-01-02,49.48371887207031,49.81707330738024,47.685153962872334,48.204567856828525,3364400
2015-01-05,46.44475173950195,48.46037991445102,46.20442563604549,48.19679749551333,4813200
2015-01-06,45.94084930419922,47.46807731251532,45.52997190391688,46.31296814508658,4549300
2015-01-07,45.42919158935547,46.84013215218247,44.894275537727964,46.75485799460376,4612100
2015-01-08,47.189002990722656,47.599883464386984,45.51447956295734,46.04164461959781,3655900
2015-01-09,47.0494499206543,47.59212007365452,46.36723888684516,47.54560743248969,3585100
2015-01-12,45.320655822753906,46.2044314092323,44.78573979865228,46.2044314092323,4840600
2015-01-13,45.320655822753906,45.98736455144859,44.88652210718649,45.45244852734697,4045900
2015-01-14,46.150169372558594,46.26645689090911,44.52991298068128,44.54541818028231,4503200
2015-01-15,46.5145378112793,47.44482915896782,46.17343226529653,47.305285308948804,5434300
2015-01-16,48.25883865356445,48.53017230644162,46.75486948546027,46.97968753042348,4769400
2015-01-20,46.826637268066406,47.636141020615874,46.056051337050384,47.4804667652426,4361300
2015-01-21,48.50791549682617,48.7492107550601,46.912260967833134,47.38706613800073,2716200
2015-01-22,49.628761291503906,49.63654663724503,47.799596981940766,48.79590745156773,4532300
2015-01-23,48.94379425048828,50.71069045700944,48.889308712910726,49.379678551108725,5481000
2015-01-26,50.18140411376953,50.484967268810806,48.577964383186114,49.37968276385814,3501200
2015-01-27,50.27479934692383,50.84301074765567,49.35632759971178,49.81556495793733,3329300
2015-01-28,47.573856353759766,49.84669269783956,47.4259674870643,49.84669269783956,5693400
2015-01-29,47.65949249267578,48.251054086288214,46.49193999760022,48.040894280865864,4088100
2015-01-30,48.70249557495117,49.091679655281126,46.59311857218016,46.93559949394452,5588200
2015-02-02,51.55132293701172,51.55132293701172,49.566481865766775,49.8389095186787,4331900
2015-02-03,52.97573471069336,53.2637330657959,52.18958715011881,52.454229472258106,5681000
2015-02-04,52.391963958740234,53.11584665429332,51.38008881707655,51.90159410890556,6044700
2015-02-05,53.21703338623047,53.7618887243667,52.609901231407214,52.936820372766746,3797900
2015-02-06,53.18589401245117,53.56729272093079,52.43087600083424,53.41940088074431,5016200
2015-02-09,52.32191848754883,53.722977875477646,52.290783042686556,53.473900255058375,4410100
2015-02-10,51.56689453125,52.0728350615164,49.83891613415952,52.0728350615164,7653300
2015-02-11,50.39934158325195,50.60171898056863,49.19287145194084,50.39934158325195,6323500
2015-02-12,50.267024993896484,52.59434449046432,49.67546343777803,51.35674177459511,7348200
2015-02-13,52.189605712890625,52.22073522429159,50.71848985228113,51.26334537899581,5850600
2015-02-17,51.98722457885742,52.02613943459462,50.98312866055866,51.76149703705574,4554900
2015-02-18,51.1777229309082,52.32971079004069,50.92864527737681,51.21664372677985,6854400
2015-02-19,51.8626708984375,51.987212660595496,49.21622080659979,49.449730672167966,5818000
2015-02-20,51.54353713989258,52.345255342189056,51.22440336466064,51.90158575749696,4509000
2015-02-23,51.54353713989258,51.71477907406802,50.46938534860205,50.804083873087485,4102500
2015-02-24,52.080623626708984,52.47758716741273,51.68365414752663,52.080623626708984,2785900
2015-02-25,52.796714782714844,52.929035947348524,51.74591893322042,52.189588555828195,2746200
2015-02-26,51.169918060302734,52.29855538667578,50.80408409721896,52.29855538667578,3952900
2015-02-27,51.247764587402344,51.613598628321384,50.92085133578568,51.37230636238699,4080000
2015-03-02,51.20884323120117,51.26332876621565,50.23588300702988,50.951980306785245,3882700
2015-03-03,51.93273162841797,52.38418664767848,51.286684542767084,51.450141165917564,3388200
2015-03-04,51.78483581542969,51.97942786700637,50.98311751309027,51.792621160266634,2986700
2015-03-05,50.92863464355469,51.88603020038554,50.710692484530675,51.88603020038554,3790500
2015-03-06,49.13839340209961,50.94420471716557,48.795909437298526,50.36821381693753,6164700
2015-03-09,47.79958724975586,49.200649304716855,47.79180487483866,49.06054280229687,3258700
2015-03-10,46.818843841552734,47.69061530895757,46.818843841552734,47.10683921601671,3293700
2015-03-11,47.60498809814453,47.83849791085465,46.56976017307563,46.84997016678474,3452500
2015-03-12,46.83441925048828,47.908568337359746,46.75658360807648,47.8930006150295,3322300
2015-03-13,46.20393371582031,46.32847250066462,45.30102678338938,46.281769342883436,3565500
