Price,Close,High,Low,Open,Volume
Ticker,OVV,OVV,OVV,OVV,OVV
Date,,,,,
2015-03-12,43.5765266418457,45.25101222099137,43.5765266418457,45.091536679705364,1193160
2015-03-13,43.05821990966797,43.29743163415104,41.981765628623116,43.29743163415104,1752420
2015-03-16,43.69612503051758,43.77586431110848,42.380458839064396,42.46019507791276,1716120
2015-03-17,43.4569091796875,43.89546453553773,42.69940281499587,43.496777295357106,1502900
2015-03-18,45.45034408569336,45.80916319998148,42.97848448369462,43.37717171251649,1405740
2015-03-19,43.13794708251953,44.932039202172696,42.898735408247404,44.09479682134952,1708480
2015-03-20,44.25428771972656,45.09153039256207,43.85560044297227,44.89218675418492,1706460
2015-03-23,44.53336715698242,45.051661828341764,44.09481176523202,44.294155401640616,1455840
2015-03-24,45.011783599853516,45.051651709832434,44.29414545326565,44.692832636538505,1262880
2015-03-25,45.09152603149414,45.7692961614708,44.41375894325971,45.29086965059159,1343720
2015-03-26,44.8523063659668,46.287579561329395,44.77257014912398,46.04836786905924,1668320
2015-03-27,43.5765266418457,44.81245676376207,43.45691922544546,44.81245676376207,1218880
2015-03-30,43.65624237060547,44.0947976216879,43.25755522566843,43.775849730783186,1073800
2015-03-31,44.45362091064453,44.85230809369964,43.018347659994504,43.29742747143636,1361520
2015-04-01,45.05165481567383,45.60981751908368,44.254280394157476,44.65296760491565,1521800
2015-04-02,45.72941589355469,46.207842309116685,44.573225566531875,44.573225566531875,1467620
2015-04-06,46.407203674316406,46.92549535430302,45.53008976383148,46.16799189572699,1316660
2015-04-07,48.04180908203125,49.11826333854178,46.28758473956718,46.367324007072206,2248260
2015-04-08,46.20785903930664,48.480375450361585,46.16799091734375,48.0418200252843,1332080
2015-04-09,46.16797637939453,47.48364224033308,46.12810522824403,46.32744881702943,1103480
2015-04-10,46.16797637939453,46.965350734536116,45.928761639458635,46.32744881702943,732600
2015-04-13,46.04838562011719,47.244447584276074,46.00851749632713,47.00523579979287,779080
2015-04-14,47.52352523803711,47.92221254050971,46.486938859956894,46.486938859956894,1055740
2015-04-15,50.71302032470703,51.47052979970897,48.121553028959184,48.36076782811455,2274820
2015-04-16,51.74960708618164,53.3443561114354,50.11498690190263,50.87249329724664,2252240
2015-04-17,52.02869415283203,52.34764521874191,50.91236846389024,51.39079202101227,1856360
2015-04-20,53.90250778198242,55.258047900974425,51.82933557565307,51.82933557565307,2932260
2015-04-21,54.1417236328125,55.57699392011547,52.945662018318046,55.417521471576464,2662160
2015-04-22,55.337791442871094,55.69660753399854,54.18159476932278,54.34107331920081,2376180
2015-04-23,55.97569274902344,56.53385860178825,55.41753297974385,55.53714038272811,1718180
2015-04-24,55.81621551513672,56.81293364933559,54.899233614976815,56.17503161005443,1374840
2015-04-27,55.61685562133789,56.73318082183194,55.61685562133789,56.17501517984345,1615520
2015-04-28,55.89595031738281,56.85280335179445,55.45739799965979,55.736477853389815,1692340
2015-04-29,56.61359786987305,57.131892588195754,55.57700843322763,55.81622325198751,1729680
2015-04-30,56.6534423828125,57.37107433452709,55.57698228827524,56.693307444861816,1790000
2015-05-01,55.89595031738281,56.81293219405393,55.29791945218224,56.21490132885336,1136440
2015-05-04,57.251495361328125,57.69004771555971,56.015562370297644,56.09529860893201,1564560
2015-05-05,55.97569274902344,58.726638683720566,55.856091429524405,57.92926410847245,1458260
2015-05-06,55.018821716308594,56.493962820991364,54.02210393159285,56.17501191318581,1731620
2015-05-07,54.620147705078125,54.81949130984118,52.86592641655682,54.69988393028654,1979440
2015-05-08,56.09526824951172,56.53382644987549,54.65999848042275,55.65671613262972,1556720
2015-05-11,55.29790496826172,56.41423017427254,54.660009195886225,56.33449396316097,2006120
2015-05-12,55.25806427001953,57.5704458292947,55.1783219402633,57.29136592560483,2515380
2015-05-13,54.30119705200195,55.895945899834516,52.86592673904309,55.138442630507676,2137760
2015-05-14,54.77962112426758,55.656737867523994,54.022117846165195,54.660019826081836,1612820
2015-05-15,54.261329650878906,54.699881915110694,52.98552576060947,53.78290015028597,1509520
2015-05-18,53.822784423828125,54.46068652446761,53.38422596920281,53.98225690724535,785580
2015-05-19,52.50709533691406,53.38420583181916,51.829328412827536,53.344340767745244,1212360
2015-05-20,52.46723937988281,53.105135267135715,52.18815346550786,52.98552788718703,1036420
2015-05-21,54.22146224975586,54.50054208875628,52.54697713226906,52.70644958784524,888000
2015-05-22,53.144996643066406,54.061978275971924,52.8260457163841,53.22473285386625,682500
2015-05-26,51.15156936645508,52.66658195469576,50.91235461123878,52.34763097556868,1102800
2015-05-27,50.872493743896484,51.23131288607741,49.95551487137011,50.872493743896484,801500
2015-05-28,50.03525161743164,50.673150631297425,49.67643247158763,50.513675117395366,941260
2015-05-29,50.47379684448242,50.593404216280646,49.596686257101524,50.075109660810774,1094640
2015-06-01,49.23786544799805,50.47379506546989,49.07838997180193,50.39405884824269,879360
2015-06-02,50.194725036621094,50.872492140242386,49.11826764401148,49.31761126763449,1150200
2015-06-03,49.9156379699707,50.87248789180156,49.51695075601969,49.676426249948506,952140
2015-06-04,48.28102493286133,49.51695478840841,47.802601453856745,49.39735043952842,1387340
2015-06-05,48.44049072265625,49.19799694724366,47.48364091484804,47.68298449806884,1097380
2015-06-08,47.28431701660156,48.560118305389665,47.00523710060511,48.20129909786354,1485340
2015-06-09,48.04180908203125,48.79931539374779,47.92220170164473,48.04180908203125,939680
2015-06-10,49.43721389770508,49.87576921909438,48.799314971889544,49.1182629139263,1341420
2015-06-11,49.19664001464844,49.47730728499178,48.19426346130181,49.276831974322455,1482840
2015-06-12,48.194278717041016,48.9159912875105,48.15418425401747,48.79570483942844,1257080
2015-06-15,47.552757263183594,48.39475320734649,47.432473876309686,47.75323263365149,918460
2015-06-16,48.67539978027344,48.715494225447095,47.352261676472075,47.55273696135046,857340
2015-06-17,48.434844970703125,50.23912309042121,48.15417765000703,48.99617349407326,1364660
2015-06-18,47.15180969238281,49.156563531846466,47.111715227395855,48.755612763953735,1235520
2015-06-19,46.79094314575195,47.83341736125826,45.46780773678082,46.59046780569473,1366100
2015-06-22,47.6329460144043,48.03389672813157,46.22961851635885,46.95132796566123,949720
2015-06-23,48.03389358520508,48.19427141299329,47.23199221022009,47.43246755396634,673460
2015-06-24,47.6329460144043,48.67541725829297,47.55275403625213,47.75322939311577,1048660
2015-06-25,46.30980682373047,47.95370411649357,46.14942592855601,47.79332322131911,1560580
2015-06-26,45.106937408447266,46.14940823897383,44.86636768740421,46.14940823897383,2404160
2015-06-29,44.14466857910156,44.58571370853458,43.8640043310108,44.42533588620321,1634100
2015-06-30,44.18476867675781,44.866386744747295,43.382867226660494,44.58571940180647,1663040
2015-07-01,43.22249221801758,44.224869096366675,42.781443944334804,44.144677110691866,1246060
2015-07-02,44.104576110839844,44.50552680275657,43.34276918439586,43.38286364178533,1855260
2015-07-06,42.17999267578125,43.302655333969504,42.09980379691479,43.302655333969504,1411380
2015-07-07,42.17999267578125,42.26018461365735,39.81438710011471,41.979517419605465,2580620
2015-07-08,39.854488372802734,41.93943017090092,39.37334584008073,41.73895488035262,1820780
2015-07-09,40.2955436706543,41.17763395028812,39.97478190041784,40.736588810471204,1880040
2015-07-10,38.69173812866211,40.89696672666876,38.4912628015706,40.61630249234493,2388180
2015-07-13,38.5313606262207,38.85212240123424,37.52898390306714,38.65164705660353,2232840
2015-07-14,40.05497741699219,40.415833675688035,37.80965400367868,38.25069918252417,2004420
2015-07-15,38.69173812866211,40.21535183816191,38.4912628015706,39.854495637595036,1476860
2015-07-16,38.09029769897461,38.972387579978616,37.76953607369521,38.812009826348486,1075160
2015-07-17,37.04783248901367,38.05020889261788,36.727070816256315,37.88982805623921,1744540
2015-07-20,35.1232795715332,37.20822497946655,35.04309065773272,36.9275576631429,1664020
2015-07-21,35.36383819580078,36.526595432503846,35.12326847141636,35.16336291564542,1790540
2015-07-22,35.043087005615234,35.44403765085337,34.40156658503635,35.08318145833692,1862720
2015-07-23,34.36146926879883,35.32375143464726,34.0808050391396,35.20346807579788,1823240
2015-07-24,31.594911575317383,33.038333263847335,30.712818334152526,32.877952396452756,4227660
2015-07-27,29.750537872314453,31.03358182506513,29.309492756279543,30.913295402959797,3824720
